"1885 National League Player Review
← 1884 | 1885 Hitting Statistics League Leaders | 1886 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Ned Williamson,Chicago,75,Top 25
Batting Average,Roger Connor,New York,.371,Top 25
Doubles,Cap Anson,Chicago,35,Top 25
Hits,Roger Connor,New York,169,Top 25
Home Runs,Abner Dalrymple,Chicago,11,Top 25
On Base Percentage,Roger Connor,New York,.435,Top 25
RBI,Cap Anson,Chicago,108,Top 25
Runs,King Kelly,Chicago,124,Top 25
Slugging Average,Dan Brouthers,Buffalo,.543,Top 25
Total Bases,Roger Connor,New York,225,Top 25
Triples,Jim O'Rourke,New York,16,Top 25
Statistic,Name(s),Team(s),#,Top 25
1885 N.L. History | 1885 A.A. History | Year-by-Year History
