"1907 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,St. Louis,127
ERA,Chicago,1.73
Fewest Hits Allowed,Chicago,"1,054"
Fewest Home Runs Allowed,Chicago,11
Fewest Walks Allowed,Pittsburgh,368
Saves,New York,13
Shutouts,Chicago,32
Strikeouts,New York,655
Statistic,Team,#
