"1933 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Chicago,95
ERA,New York,2.71
Fewest Hits Allowed,New York,"1,280"
Fewest Home Runs Allowed,Cincinnati,47
Fewest Walks Allowed,Cincinnati,257
Saves,Boston,16
St. Louis
Shutouts,New York,23
Strikeouts,St. Louis,635
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
