"1886 National League Team Review
Hitting Statistics League Leaderboard"
Statistic,Team,#
Base on Balls,Chicago,460
Batting Average,Detroit,.280
Doubles,Chicago,198
Hits,Detroit,"1,260"
Home Runs,Chicago,53
Detroit
On Base Percentage,Chicago,.348
Runs,Chicago,900
Slugging Average,Chicago,.401
Triples,Chicago,87
