"1882 National League Player Review
← 1881 | 1882 Hitting Statistics League Leaders | 1883 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,George Gore,Chicago,29,Top 25
Batting Average,Dan Brouthers,Buffalo,.368,Top 25
Doubles,King Kelly,Chicago,37,Top 25
Hits,Dan Brouthers,Buffalo,129,Top 25
Home Runs,George Wood,Detroit,7,Top 25
On Base Percentage,Dan Brouthers,Buffalo,.403,Top 25
RBI,Cap Anson,Chicago,83,Top 25
Runs,George Gore,Chicago,99,Top 25
Slugging Average,Dan Brouthers,Buffalo,.547,Top 25
Total Bases,Dan Brouthers,Buffalo,192,Top 25
Triples,Roger Connor,Troy,18,Top 25
Statistic,Name(s),Team(s),#,Top 25
1882 N.L. History | Year-by-Year History
