"1940 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Cincinnati,91
ERA,Cincinnati,3.05
Fewest Hits Allowed,Cincinnati,"1,263"
Fewest Home Runs Allowed,Pittsburgh,72
Fewest Walks Allowed,Brooklyn,393
Saves,Pittsburgh,24
Shutouts,Brooklyn,17
Strikeouts,Brooklyn,639
"Seasonal Events: All-Star Game | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard
Retirements | Rookies List"
