Year,Statistic,Team,#
1945,On Base Percentage,Chicago,349.0
1945,Runs,Brooklyn,795.0
1945,Slugging Average,New York,379.0
1945,Stolen Bases,Boston,82.0
1945,Triples,Brooklyn,71.0
1884,Base on Balls,Providence,300.0
1884,Batting Average,Chicago,281.0
1884,Doubles,Boston,179.0
1884,Hits,Chicago,1176.0
1884,Home Runs,Chicago,142.0
1884,On Base Percentage,Chicago,324.0
1884,Runs,Chicago,834.0
1884,Slugging Average,Chicago,446.0
1884,Triples,Buffalo,69.0
1879,Base on Balls,Providence,91.0
1879,Batting Average,Providence,296.0
1879,Doubles,Chicago,167.0
1879,Hits,Providence,1003.0
1879,Home Runs,Boston,20.0
1879,On Base Percentage,Providence,314.0
1879,Runs,Providence,612.0
1879,Slugging Average,Providence,381.0
1879,Triples,Providence,55.0
1996,Base on Balls,San Francisco,615.0
1996,Batting Average,Colorado,287.0
1996,Doubles,Pittsburgh,319.0
1996,Hits,Colorado,1607.0
1996,Home Runs,Colorado,221.0
1996,On Base Percentage,Colorado,357.0
1996,Runs,Colorado,961.0
1996,Slugging Average,Colorado,472.0
1996,Stolen Bases,Colorado,201.0
1996,Triples,New York,47.0
1891,Base on Balls,Boston,533.0
1891,Batting Average,New York,263.0
1891,Doubles,Brooklyn,200.0
1891,Hits,Cleveland,1295.0
1891,Home Runs,Chicago,60.0
1891,On Base Percentage,Boston,337.0
1891,Runs,Boston,847.0
1891,Slugging Average,New York,360.0
1891,Stolen Bases,Brooklyn,337.0
1891,Triples,Cincinnati,90.0
1983,Base on Balls,Philadelphia,640.0
1983,Batting Average,Atlanta,272.0
1983,Doubles,Montreal,297.0
1983,Hits,St. Louis,1496.0
1983,Home Runs,Los Angeles,146.0
1983,On Base Percentage,Atlanta,344.0
1983,Runs,Atlanta,746.0
1983,Slugging Average,Chicago,401.0
1983,Stolen Bases,St. Louis,207.0
1983,Triples,St. Louis,63.0
1920,Base on Balls,New York,432.0
1920,Batting Average,St. Louis,289.0
1920,Doubles,St. Louis,238.0
1920,Hits,St. Louis,1589.0
1920,Home Runs,Philadelphia,64.0
1920,On Base Percentage,St. Louis,337.0
1920,Runs,New York,682.0
1920,Slugging Average,St. Louis,385.0
1920,Stolen Bases,Pittsburgh,181.0
1920,Triples,Brooklyn,99.0
1950,Base on Balls,New York,627.0
1950,Batting Average,Brooklyn,272.0
1950,Doubles,Cincinnati,257.0
1950,Hits,Brooklyn,1461.0
1950,Home Runs,Brooklyn,194.0
1950,On Base Percentage,Brooklyn,349.0
1950,Runs,Brooklyn,847.0
1950,Slugging Average,Brooklyn,444.0
1950,Stolen Bases,Brooklyn,77.0
1950,Triples,Pittsburgh,59.0
1962,Base on Balls,New York Mets,616.0
1962,Batting Average,San Francisco Giants,278.0
1962,Doubles,Cincinnati Reds,252.0
1962,Hits,San Francisco Giants,1552.0
1962,Home Runs,San Francisco Giants,204.0
1962,On Base Percentage,San Francisco Giants,344.0
1962,Runs,San Francisco Giants,878.0
1962,Slugging Average,San Francisco Giants,441.0
1962,Stolen Bases,Los Angeles Dodgers,198.0
1962,Triples,Los Angeles Dodgers,65.0
1912,Base on Balls,Chicago,560.0
1912,Batting Average,New York,286.0
1912,Doubles,Chicago,245.0
1912,Hits,Pittsburgh,1493.0
1912,Home Runs,New York,47.0
1912,On Base Percentage,New York,360.0
1912,Runs,New York,823.0
1912,Slugging Average,Pittsburgh,398.0
1912,Stolen Bases,New York,319.0
1912,Triples,Pittsburgh,129.0
